Date           Google         IDP-East       IDP-West       MSN            West-NoXorro   Yahoo!         
2009-04-01     88.6357        90.8919        90.7557        84.9471        90.928         90.6364        
2009-04-02     89.6225        90.8379        90.9044        84.7669        90.9945        90.7154        
2009-04-03     89.2746        90.7118        90.8919        83.6193        90.9945        90.5352        
2009-04-04     89.5213        90.9359        90.6656        84.3761        90.7682        90.4562        
2009-04-05     89.1609        91.0925        91.0496        84.3332        91.1522        90.9552        
2009-04-06     89.4312        90.5881        90.6892        84.67          90.7918        90.7751        
2009-04-07     89.3951        90.9123        90.8694        84.9166        90.7918        90.7515        
2009-04-08     89.4852        91.0024        90.947         84.7601        91.2298        90.66          
2009-04-09     89.5989        90.8887        90.7229        84.8155        91.1161        90.7297        
2009-04-10     89.3411        90.928         90.8998        84.6782        91.1826        90.616         
2009-04-11     89.3411        90.8615        91.0417        84.6975        91.391         90.4719        
2009-04-12     89.3883        90.8615        91.0417        84.6117        91.5046        91.1261        
2009-04-13     89.8431        90.7952        91.1582        85.3837        91.443         91.2432        
2009-04-14     89.7286        90.8622        90.9767        85.1784        91.2615        91.0617        
2009-04-15     89.4927        90.8622        90.9767        85.3599        91.443         91.1399        
2009-04-16     89.1535        91.0437        90.752         84.4525        91.0368        90.8928        
2009-04-17     88.9789        84.5771        91.0991        84.8824        91.2025        90.6397        
2009-04-18     89.2285        91.1582        91.0322        84.5976        91.317         91.0027        
2009-04-19     89.2861        91.0004        91.2806        84.3254        91.5654        91.0027        
2009-04-20     88.98          91.2727        91.5291        84.6646        91.8139        91.4326        
2009-04-21     88.8687        91.3397        91.5291        84.4399        91.8139        91.4326        
2009-04-22     88.6984        91.5211        91.5961        84.7553        91.8809        91.4996        
2009-04-23     88.6077        91.2727        91.5291        84.4831        91.8139        91.4326        
2009-04-24     88.2414        91.1614        91.5449        83.0312        91.8297        91.4373        
2009-04-25     88.4526        91.4118        91.7316        82.5617        91.9138        91.5644        
2009-04-26     88.2976        91.4118        91.2969        82.3795        91.479         91.2001        
2009-04-27     88.5469        91.2969        91.2969        82.5491        91.479         91.2001        
2009-04-28     88.3171        91.0475        91.3446        82.7789        91.5267        91.1567        
2009-04-29     88.3934        91.1147        90.9998        82.6672        91.479         91.109         
2009-04-30     88.3262        91.1147        91.0237        83.1194        91.388         90.9156        
2009-05-01     88.2112        91.2297        91.273         82.6878        91.4552        91.0852        
2009-05-02     89.0147        91.2411        91.4239        82.8988        91.6068        91.3141        
2009-05-03     89.0695        90.8755        91.1497        83.3319        91.3325        91.016         
2009-05-04     88.6926        91.1258        91.2172        83.1251        91.4           91.2662        
2009-05-05     88.9107        91.4914        91.2411        83.0576        91.4239        91.1988        
2009-05-06     88.9303        90.7841        91.0344        82.9184        91.2172        90.7417        
2009-05-07     88.808         90.943         91.1018        82.7355        91.2847        90.8092        
2009-05-08     88.6491        91.3405        91.1099        82.9184        91.2927        91.0595        
2009-05-09     88.5816        91.2927        91.4207        82.955         91.6035        90.9888        
2009-05-10     88.808         91.0344        91.4914        83.2053        91.6742        91.3816        
2009-05-11     89.2411        90.9669        91.5027        82.955         91.6855        91.4969        
2009-05-12     89.4126        91.3565        91.2411        82.9778        91.5393        91.362         
2009-05-13     89.4605        90.9876        91.3565        84.1755        91.5393        91.2466        
2009-05-14     89.0583        91.1577        91.3532        84.3823        91.6514        91.1759        
2009-05-15     88.9669        90.9876        91.1704        84.267         91.3532        90.9565        
2009-05-16     88.8755        91.3532        91.1704        82.6216        91.3532        89.9637        
2009-05-17     88.545         91.5234        91.4686        84.2909        91.6514        90.6949        
2009-05-18     88.7405        91.5234        91.1577        83.9253        91.3405        90.6162        
2009-05-19     88.0332        91.3405        91.3358        82.9872        91.5186        90.8904        
2009-05-20     89.0822        91.3325        91.4479        83.1265        91.6307        91.3507        
2009-05-21     88.6252        91.5861        91.2284        83.4922        91.2284        91.2114        
2009-05-22     89.1051        91.7689        91.5186        83.4922        91.5186        91.3268        
2009-05-23     89.1051        91.8444        91.7689        83.3333        91.7689        91.5771        
2009-05-24     89.4946        91.5941        91.7769        83.4486        91.7769        91.7599        
2009-05-25     89.3793        91.9597        91.5941        84.1799        91.5941        91.5851        
2009-05-26     89.2639        91.9597        91.6616        84.1559        91.6616        91.6765        
2009-05-27     89.4285        92.9283        92.6776        84.768         92.4944        92.3938        
2009-05-28     86.7328        92.6536        92.562         83.6211        92.562         92.0275        
2009-05-29     89.93          92.8527        92.3789        84.0354        92.562         92.2735        
2009-05-30     89.7102        92.4864        92.6216        83.6211        92.6216        92.2027        
2009-05-31     89.5397        92.4864        92.8527        83.9678        92.8527        92.6845        
2009-06-01     89.1494        92.8607        92.6776                       92.6776        92.5482        
2009-06-02                    92.8607        92.4944                       92.6776        92.7314        
2009-06-03                    92.8378        92.8745                       92.8745        92.6376        
2009-06-04     88.9467        92.9661        92.6914                       92.6914        92.6376        
2009-06-05                    92.7223        92.8985                       92.8985        92.7419        
2009-06-06                    92.8378        92.8985                       92.9661        92.7179        
2009-06-07     88.3285        92.8618        92.8985                       92.9661        92.7179        
2009-06-08     88.0778        92.8618        92.8985                       92.9661        92.6264        
2009-06-09     88.4521        92.8618        92.8309                       92.8985        92.5828        
2009-06-10     88.9935        92.8378        92.8985                       92.7829        92.6264        
2009-06-11     88.6512        92.9294        92.8745        80.8346        92.9421        92.6137        
2009-06-12     88.1454        92.9294        92.3927        80.8346        92.6434        91.9853        
2009-06-13     88.4521        92.9294        92.7829        82.5138        92.6674        92.5108        
2009-06-14     88.6385        92.9294        92.5758        82.3307        92.6434        92.315         
2009-06-15     88.648         92.7463        92.7829        82.5138        92.8505        92.3277        
2009-06-16     88.9227        92.7463        92.759         82.1475        92.2771        92.5897        
2009-06-17     88.4201        92.6787        92.0983        82.1475        92.1659        92.1685        
2009-06-18     88.3924        92.4955        92.7153        82.2151        92.7829        92.3516        
2009-06-19     88.0821        92.6787        92.3491        82.5814        92.5998        92.1685        
2009-06-20     87.3818        85.3063        85.4361        79.9664        85.5241        85.3072        
2009-06-21     86.885         85.6279        85.8607        79.9785        85.8607        85.8294        
2009-06-22     87.0663        85.9497        85.9304        80.0665        86.0699        85.8895        
2009-06-23     86.8239        85.7223        85.7909        79.9785        85.9304        85.5923        
2009-06-24     87.2293        85.3047        85.0161        79.8416        84.8766        84.5385        
2009-06-25     87.0395        84.7833        84.6525        78.3564        84.9314        84.663         
2009-06-26     86.926         84.7136        84.9131        78.2352        85.0526        84.678         
2009-06-27     87.3547        84.6922        84.9383        79.0611        84.8502        84.8178        
2009-06-28     87.2001        84.9716        84.8405        78.7878        85.1198        84.6749        
2009-06-29     86.808         84.8136        84.7524        78.7975        84.8039        84.7211        
2009-06-30     86.8953        84.6922        84.9286                       85.0683        84.4933        
2009-07-01                    84.6557        85.0317                       85.1714        84.9639        
2009-07-02     87.084         84.8136        85.1112        78.4129        85.2509        84.8156        
2009-07-03     86.4031        85.1628        85.0439        78.3708        85.2534        84.9735        
2009-07-04     87.1197        85.339         85.2509        77.2778        85.3906        85.0434        
2009-07-05     87.4356        85.4446        85.2168        77.8905        85.0771        85.4108        
2009-07-06     87.2444        85.0256        85.1811        77.6173        85.4421        85.1132        
2009-07-07     87.9668        85.4836        85.4994        77.8103        85.6395        85.37          
2009-07-08     87.8292        85.298         85.2088        77.6308        85.4347        85.0618        
2009-07-09     87.4705        85.2429        85.4627        78.1368        85.6028        85.3936        
2009-07-10     87.1904        85.4477        85.5878        77.7647        85.6061        85.4119        
2009-07-11     87.0108        85.3777        85.5264        78.971         85.6664        85.2902        
2009-07-12     87.4474        85.2273        85.4382        79.4993        85.5789        85.2282        
2009-07-13     87.0476        85.1385        85.5507        79.4993        85.6914        85.3786        
2009-07-14     87.371         85.1234        85.2457        78.7417        85.3863        84.8863        
2009-07-15     87.6621        85.3777        85.316         78.8823        85.4566        85.2379        
2009-07-16     87.3051        85.1385        85.4566        79.5434        85.2457        85.0973        
2009-07-17     87.1678        85.2792        85.1234        79.9145        85.2641        85.1405        
2009-07-18     87.1678        84.9091        85.4198        79.5813        85.4717        84.9382        
2009-07-19     87.7279        85.2088        85.2792        79.4381        85.5605        84.975         
2009-07-20     87.6367        85.4014        85.4901        79.8601        85.6308        85.1676        
2009-07-21     87.8342        84.6094        85.2976        80.087         85.4382        85.1394        
2009-07-22     87.6567        85.172         85.2607        79.3776        85.2607        84.6287        
2009-07-23     87.6199        85.0498        85.1017        79.4847        85.1017        84.7423        
2009-07-24     87.6048        84.6463        84.8756        79.8179        85.0163        84.7791        
2009-07-25     87.2125        84.9979        84.9125        80.4508        85.105         84.831         
2009-07-26     87.1212        85.0523        84.946         80.2399        85.2273        84.9014        
2009-07-27     88.0772        85.4211        85.5813        80.6328        85.7229        85.2618        
2009-07-28     87.7914        85.0299        85.0855        80.3059        85.5105        85.1725        
2009-07-29     87.6337        85.5965        85.3688        80.3705        85.5105        85.2804        
2009-07-30     87.6584        85.3688        85.8646        79.9968        85.8646        85.4591        
2009-07-31     87.5666        85.0485        84.8883        80.3509        84.836         85.2095        
2009-08-01     87.5411        85.8043        85.8381        80.6884        85.9804        85.7154        
2009-08-02     87.8815        85.6719        85.9279        80.8394        85.9279        85.4496        
2009-08-03     87.7731        86.054         85.7484        81.2475        85.9804        85.9999        
2009-08-04     88.111         86.2158        85.9465        81.3712        86.231         85.5209        
2009-08-05     87.9501        85.5198        85.791         79.9227        85.791         85.3039        
2009-08-06     88.271         85.5723        85.279         79.1404        85.279         85.7679        
2009-08-07     87.6156        85.894         85.9366        79.1776        85.9366        85.8238        
2009-08-08     87.3498        85.894         85.5296        78.7322        85.5296        85.7876        
2009-08-09     87.4023        86.1011        86.2934        78.8745        86.4356        85.8215        
2009-08-10     87.5986        86.0552        86.115         79.0093        86.257         86.0361        
2009-08-11     87.12          86.3579        85.442         78.9045        85.584         86.1072        
2009-08-12     87.2409        86.4104        85.513         79.099         85.513         86.3946        
2009-08-13     87.5577        86.1609        84.6534        79.4541        84.7954        85.8975        
2009-08-14     87.9281        86.1085        85.701         79.6519        85.843         85.703         
2009-08-15     87.9991        85.8343        84.3056        79.0587        84.7317        85.9161        
2009-08-16     87.8571        86.4025        86.0987        78.827         86.2407        85.9995        
2009-08-17     87.3969        86.5922        86.4949        79.735         86.6375        86.2124        
2009-08-18     87.3791        86.3069        84.8917        79.7689        85.177         86.3551        
2009-08-19     87.355         86.5209        85.6364        79.341         85.361         86.365         
2009-08-20     87.693         86.5396        86.4869        79.431         86.7009        86.5164        
2009-08-21     87.8883        85.6727        85.8778        79.0743        86.0205        85.6089        
2009-08-22     87.445         85.7066        85.8252        78.7605        85.9678        85.6276        
2009-08-23     87.2123        85.6727        85.744         78.7568        85.8866        85.6115        
2009-08-24     86.4091        85.7154        85.654         78.9521        85.8065        85.6605        
2009-08-25     86.8467        85.9792        86.0508        79.4534        86.1941        85.8865        
2009-08-26     86.9737        85.6739        85.2529        79.4534        85.5394        85.7432        
2009-08-27     86.9209        85.8888        85.8788        77.6967        86.1654        85.8766        
2009-08-28     86.8305        85.8547        85.6452        77.5597        86.0937        85.6454        
2009-08-29     86.955         85.8547        86.1412        78.3664        86.2845        86.0323        
2009-08-30     88.3436        87.0702        87.1621        78.4969        87.3076        87.0795        
2009-08-31     88.4891        87.0702        87.1083        77.9785        87.3995        87.115         
2009-09-01     88.7346        87.3177        87.0457        78.377         87.3995        87.3068        
2009-09-02     88.6436        87.4096        87.3166        77.9404        87.5159        87.3169        
2009-09-03     88.3436        87.4096        87.4532        77.9877        87.4532        87.3706        
2009-09-04     88.5518        88.001         88.0476        77.9404        88.3387        88.0176        
2009-09-05     88.5327        88.3768        88.1842        77.934         88.1842        88.1351        
2009-09-06     88.5865        88.3869        87.6401        78.0258        88.0767        88.2269        
2009-09-07     88.5518        88.4051        88.4843        77.6593        88.6298        88.4643        
2009-09-08     88.3106        88.1767        88.2122        77.9259        88.3578        88.2766        
2009-09-09     88.0923        87.759         88.1103        77.2353        88.0565        88.3404        
2009-09-10     88.1643        88.1531        88.2705        77.7852        88.4163        88.5421        
2009-09-11     88.1487        88.2797        88.3153        78.587         88.1695        88.4692        
2009-09-12     88.554         88.572         88.454         79.2137        88.6006        88.8389        
2009-09-13     88.6465        88.6802        88.3265        79.1596        88.4732        88.8389        
2009-09-14     88.7061        88.8077        88.728         78.4457        88.8746        88.7463        
2009-09-15     88.7006        88.7344        88.7114        78.3724        88.858         88.8197        
2009-09-16     88.7582        88.9122        88.4156        78.8472        88.5622        88.673         
2009-09-17     88.8315        88.9351        88.8013        78.9397        89.0405        88.893         
2009-09-18     88.892         88.7344        88.8938        78.6621        89.0405        88.8362        
2009-09-19     88.8187        88.6418        88.7574        79.6216        88.8589        88.8261        
2009-09-20     89.8143        90.0011        90.0572        80.8148        90.2001        89.9645        
2009-09-21     89.5107        90.1726        90.0824        81.2434        90.2253        89.6975        
2009-09-22     89.1436        90.1913        90.1913        81.3747        90.2627        89.7503        
2009-09-23     89.4294        90.2474        90.3001        80.7908        90.3001        90.0921        
2009-09-24     89.2964        89.8367        89.869         80.3809        89.869         89.6511        
2009-09-25     89.5447        90.1876        89.3528        80.4013        89.4957        89.6786        
2009-09-26     89.5348        90.2312        89.6474        80.3461        89.7375        89.7313        
2009-09-27     89.3304        89.8027        89.8616        80.6131        89.8616        89.5884        
2009-09-28     89.2162        89.8616        90.0572        80.7684        89.9144        89.6259        
2009-09-29     88.9359        89.8891        89.7001        80.7871        89.7001        89.5822        
2009-09-30     88.3117        90.066         89.5561        80.5541        89.4133        89.4019        
2009-10-01     88.3429        90.0473        89.5133        80.7871        89.799         89.9232        
2009-10-02     88.2525        89.8364        89.6749        80.6068        89.6749        89.191         
2009-10-03     88.3088        89.6383        89.1034        80.3398        89.3891        89.1599        
2009-10-04     90.9995        92.4182        91.9567        82.794         92.0484        92.0768        
2009-10-05     90.6171        92.3265        92.3011        82.1299        92.1211        92.2948        
2009-10-06     90.2918        92.4718        91.8959        82.8502        91.906         91.9124        
2009-10-07     89.9474        92.5535        91.8423        82.5786        91.915         92.0577        
2009-10-08     90.1655        92.807         92.0459        82.2051        92.0459        92.1494        
2009-10-12     90.4337        92.8542        92.3256        82.0125        92.3256        92.0197        
2009-10-13     90.6327        92.8352        91.8105        82.0952        92.1012        92.0197        
2009-10-14     90.579         92.6899        91.4036        82.1307        91.8587        91.669         
2009-10-15     90.7971        92.9079        91.767         82.247         91.9123        91.9597        
2009-10-16     90.9886        92.9205        92.3011        82.8284        92.3011        87.9063        

