267	Yahoo!         
2009-09-24     89.6511        
2009-09-25     89.6786        
2009-09-26     89.7313        
2009-09-27     89.5884        
2009-09-28     89.6259        
2009-09-29     89.5822        
2009-09-30     89.4019        
2009-10-01     89.9232        
2009-10-02     89.191         
2009-10-03     89.1599        
2009-10-04     92.0768        
2009-10-05     92.2948        
2009-10-06     91.9124        
2009-10-07     92.0577        
2009-10-08     92.1494        
2009-10-12     92.0197        
2009-10-13     92.0197        
2009-10-14     91.669         
2009-10-15     91.9597        
2009-10-16     87.9063
